LAD21CD/E06000011	East Riding of Yorkshire
WD21CD/E05012661	East Cliff & Springbourne
WD21CD/E05012662	East Southbourne & Tuckton
WD21CD/E05012699	Eggardon
WD21CD/E05012741	Eastern Felixstowe
WD21CD/E05012772	Eastgate
WD21CD/E05012773	Exning
WD21CD/E05012812	Exmoor
WD21CD/E05012851	Ditchingham & Earsham
WD21CD/E05012856	Aylesham, Eythorne & Shepherdswell
WD21CD/E05012859	Eastry Rural
WD21CD/E05012862	Maxton & Elms Vale
WD21CD/E05012874	Earlswood & Whitebushes
WD21CD/E05012891	Egham Hythe
WD21CD/E05012892	Egham Town
WD21CD/E05012893	Englefield Green East
WD21CD/E05012894	Englefield Green West
WD21CD/E05012904	Eaton
WD21CD/E05012988	East Malling
WD21CD/E05013020	Boothstown & Ellenbrook
WD21CD/E05013024	Eccles
WD21CD/E05013055	East Chesterton
WD21CD/E05013075	Croston, Mawdesley & Euxton South
WD21CD/E05013076	Eccleston, Heskin & Charnock Richard
WD21CD/E05013077	Euxton
WD21CD/E05013083	Eastrop & Grove
WD21CD/E05013084	Evingar
WD21CD/E05013206	Earby & Coates
WD21CD/E05013220	Earls Barton
WD21CD/E05013254	East Hunsbury and Shelfleys
WD21CD/E05013370	East Cowes
WD21CD/E05013385	Ryde Appley & Elmfield
WD21CD/E05013432	Downton & Ebble Valley
WD21CD/E05013434	Ethandune
WD21CD/N08000516	Ebrington
WD21CD/N08000517	Eglinton
WD21CD/N08000518	Enagh
WD21CD/N08000617	Ederney and Kesh
WD21CD/N08000618	Erne
WD21CD/N08000716	Enler
WD21CD/S13002551	East End
WD21CD/S13002600	Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas
WD21CD/S13002736	East Mainland, South Ronaldsay and Burray
WD21CD/S13002767	East Berwickshire
WD21CD/S13002824	East Livingston and East Calder
WD21CD/S13002856	Ellon and District
WD21CD/S13002859	East Garioch
WD21CD/S13002963	East Neuk and Landward
WD21CD/S13002984	East Centre
WD21CD/S13002993	East Sutherland and Edderton
WD21CD/S13002999	Eilean á Chèo
WD21CD/S13003029	Elgin City North
WD21CD/S13003030	Elgin City South
WD21CD/S13003086	Erskine and Inchinnan
WD21CD/S13003100	East Kilbride South
WD21CD/S13003101	East Kilbride Central South
WD21CD/S13003102	East Kilbride Central North
WD21CD/S13003103	East Kilbride West
WD21CD/S13003104	East Kilbride East
WD21CD/W05000067	Efail-newydd/Buan
WD21CD/W05000123	Eglwysbach
WD21CD/W05000124	Eirias
WD21CD/W05000156	Efenechtyd
WD21CD/W05000198	Ewloe
WD21CD/W05000249	Erddig
WD21CD/W05000250	Esclusham
WD21CD/W05000471	Elli
WD21CD/W05000860	Ely
WD21CD/W05000942	Ebbw Vale North
WD21CD/W05000943	Ebbw Vale South
WD21CD/W05000952	East Williamston
